   0   ARR duration    5 train   0 eb    67 lb    67 needs  receiving_track
   1   UNC duration   30 train   0 eb    72 lb  1410 needs  uncoupling
   2   HUM duration   15 train   0 eb   102 lb  1440 needs  receiving_track
   3   HUM duration   15 train   0 eb   102 lb  1440 needs  hump
   4   HUM duration   15 train   0 eb   102 lb  1440 needs  humping_locomotive
   5   ARR duration    5 train   1 eb   169 lb   169 needs  receiving_track
   6   UNC duration   30 train   1 eb   174 lb  1410 needs  uncoupling
   7   HUM duration   15 train   1 eb   204 lb  1440 needs  receiving_track
   8   HUM duration   15 train   1 eb   204 lb  1440 needs  hump
   9   HUM duration   15 train   1 eb   204 lb  1440 needs  humping_locomotive
  10   ARR duration    5 train   2 eb   506 lb   506 needs  receiving_track
  11   UNC duration   30 train   2 eb   511 lb  1410 needs  uncoupling
  12   SPC duration   20 train   2 eb   511 lb  1420 needs  brake_check
  13   SPC duration   20 train   2 eb   511 lb  1420 needs  locomotive
  14   HUM duration   15 train   2 eb   541 lb  1440 needs  receiving_track
  15   HUM duration   15 train   2 eb   541 lb  1440 needs  hump
  16   HUM duration   15 train   2 eb   541 lb  1440 needs  humping_locomotive
  17   ARR duration    5 train   3 eb   530 lb   530 needs  receiving_track
  18   UNC duration   30 train   3 eb   535 lb  1410 needs  uncoupling
  19   SPC duration   20 train   3 eb   535 lb  1420 needs  brake_check
  20   SPC duration   20 train   3 eb   535 lb  1420 needs  locomotive
  21   HUM duration   15 train   3 eb   565 lb  1440 needs  receiving_track
  22   HUM duration   15 train   3 eb   565 lb  1440 needs  hump
  23   HUM duration   15 train   3 eb   565 lb  1440 needs  humping_locomotive
  24   ARR duration    5 train   4 eb   468 lb   468 needs  receiving_track
  25   UNC duration   30 train   4 eb   473 lb  1410 needs  uncoupling
  26   SPC duration   20 train   4 eb   473 lb  1420 needs  brake_check
  27   SPC duration   20 train   4 eb   473 lb  1420 needs  locomotive
  28   HUM duration   15 train   4 eb   503 lb  1440 needs  receiving_track
  29   HUM duration   15 train   4 eb   503 lb  1440 needs  hump
  30   HUM duration   15 train   4 eb   503 lb  1440 needs  humping_locomotive
  31   SCL duration    1 train   5 eb     1 lb   832 needs  classification_track
  32   COU duration   30 train   5 eb     2 lb   833 needs  coupling
  33   INS duration   60 train   5 eb    32 lb   863 needs  inspection
  34   BRC duration   10 train   5 eb    92 lb   923 needs  brake_check
  35   DEP duration    5 train   5 eb   933 lb   933 needs  classification_track
  36   SCL duration    1 train   6 eb     1 lb   653 needs  classification_track
  37   COU duration   30 train   6 eb     2 lb   654 needs  coupling
  38   INS duration   60 train   6 eb    32 lb   684 needs  inspection
  39   BRC duration   10 train   6 eb    92 lb   744 needs  brake_check
  40   DEP duration    5 train   6 eb   754 lb   754 needs  classification_track
  41   SCL duration    1 train   7 eb     1 lb   536 needs  classification_track
  42   COU duration   30 train   7 eb     2 lb   537 needs  coupling
  43   PUL duration   25 train   7 eb    32 lb   567 needs  classification_track
  44   PUL duration   25 train   7 eb    32 lb   567 needs  departing_track
  45   PUL duration   25 train   7 eb    32 lb   567 needs  brake_check
  46   PUL duration   25 train   7 eb    32 lb   567 needs  locomotive
  47   INS duration   60 train   7 eb    57 lb   592 needs  inspection
  48   BRC duration   10 train   7 eb   117 lb   652 needs  brake_check
  49   DEP duration    5 train   7 eb   662 lb   662 needs  departing_track
  50   SCL duration    1 train   8 eb     1 lb   601 needs  classification_track
  51   COU duration   30 train   8 eb     2 lb   602 needs  coupling
  52   PUL duration   25 train   8 eb    32 lb   632 needs  classification_track
  53   PUL duration   25 train   8 eb    32 lb   632 needs  departing_track
  54   PUL duration   25 train   8 eb    32 lb   632 needs  brake_check
  55   PUL duration   25 train   8 eb    32 lb   632 needs  locomotive
  56   INS duration   60 train   8 eb    57 lb   657 needs  inspection
  57   BRC duration   10 train   8 eb   117 lb   717 needs  brake_check
  58   DEP duration    5 train   8 eb   727 lb   727 needs  departing_track
  59   SCL duration    1 train   9 eb     1 lb   832 needs  classification_track
  60   COU duration   30 train   9 eb     2 lb   833 needs  coupling
  61   PUL duration   25 train   9 eb    32 lb   863 needs  classification_track
  62   PUL duration   25 train   9 eb    32 lb   863 needs  departing_track
  63   PUL duration   25 train   9 eb    32 lb   863 needs  brake_check
  64   PUL duration   25 train   9 eb    32 lb   863 needs  locomotive
  65   INS duration   60 train   9 eb    57 lb   888 needs  inspection
  66   BRC duration   10 train   9 eb   117 lb   948 needs  brake_check
  67   DEP duration    5 train   9 eb   958 lb   958 needs  departing_track
  68 Depot duration    0 train  10 eb     0 lb  1440 needs 
