Id,dest,cap,arr,dep,inb,type
0,1,40,546,0,1,Inbound train without any special treatment.
1,2,40,408,0,1,Inbound train without any special treatment.
2,1,40,119,0,1,Inbound train without any special treatment.
3,2,40,479,0,1,Inbound train without any special treatment.
4,2,40,415,0,1,Inbound train without any special treatment.
5,2,40,549,0,1,Inbound train without any special treatment.
6,1,40,200,0,1,Inbound train without any special treatment.
7,1,40,107,0,1,Inbound train without any special treatment.
8,1,40,638,0,1,Inbound train without any special treatment.
9,1,40,184,0,1,Inbound train without any special treatment.
10,2,40,539,0,1,Inbound train with special treatment.
11,2,40,223,0,1,Inbound train with special treatment.
12,1,40,629,0,1,Inbound train with special treatment.
13,1,40,617,0,1,Inbound train with special treatment.
14,1,40,466,0,1,Inbound train with special treatment.
15,1,40,66,0,1,Inbound train with special treatment.
16,1,40,708,0,1,Inbound train with special treatment.
17,1,40,599,0,1,Inbound train with special treatment.
18,2,40,86,0,1,Inbound train with special treatment.
19,1,40,315,0,1,Inbound train with special treatment.
20,1,40,0,1208,0,Outbound train that leaves the yard from the classification tracks.
21,2,40,0,1342,0,Outbound train that leaves the yard from the classification tracks.
22,1,40,0,1081,0,Outbound train that leaves the yard from the classification tracks.
23,2,40,0,752,0,Outbound train that leaves the yard from the classification tracks.
24,1,40,0,1399,0,Outbound train that leaves the yard from the classification tracks.
25,2,40,0,1149,0,Outbound train that leaves the yard from the classification tracks.
26,2,40,0,1262,0,Outbound train that leaves the yard from the classification tracks.
27,1,40,0,938,0,Outbound train that leaves the yard from the classification tracks.
28,1,40,0,1298,0,Outbound train that leaves the yard from the classification tracks.
29,2,40,0,1286,0,Outbound train that leaves the yard from the classification tracks.
30,2,40,0,1227,0,Outbound train that leaves the yard from the departure tracks.
31,2,40,0,1345,0,Outbound train that leaves the yard from the departure tracks.
32,2,40,0,645,0,Outbound train that leaves the yard from the departure tracks.
33,2,40,0,1220,0,Outbound train that leaves the yard from the departure tracks.
34,2,40,0,680,0,Outbound train that leaves the yard from the departure tracks.
35,1,40,0,1161,0,Outbound train that leaves the yard from the departure tracks.
36,1,40,0,634,0,Outbound train that leaves the yard from the departure tracks.
37,1,40,0,1178,0,Outbound train that leaves the yard from the departure tracks.
38,1,40,0,1072,0,Outbound train that leaves the yard from the departure tracks.
39,1,40,0,981,0,Outbound train that leaves the yard from the departure tracks.
