   0   ARR duration    5 train   0 eb   460 lb   460 needs  receiving_track
   1   UNC duration   30 train   0 eb   465 lb  1390 needs  uncoupling
   2   SPC duration   20 train   0 eb   465 lb  1400 needs  brake_check
   3   SPC duration   20 train   0 eb   465 lb  1400 needs  locomotive
   4   HUM duration   15 train   0 eb   495 lb  1420 needs  receiving_track
   5   HUM duration   15 train   0 eb   495 lb  1420 needs  hump
   6   HUM duration   15 train   0 eb   495 lb  1420 needs  humping_locomotive
   7   ARR duration    5 train   1 eb   237 lb   237 needs  receiving_track
   8   UNC duration   30 train   1 eb   242 lb  1390 needs  uncoupling
   9   SPC duration   20 train   1 eb   242 lb  1400 needs  brake_check
  10   SPC duration   20 train   1 eb   242 lb  1400 needs  locomotive
  11   HUM duration   15 train   1 eb   272 lb  1420 needs  receiving_track
  12   HUM duration   15 train   1 eb   272 lb  1420 needs  hump
  13   HUM duration   15 train   1 eb   272 lb  1420 needs  humping_locomotive
  14   ARR duration    5 train   2 eb   551 lb   551 needs  receiving_track
  15   UNC duration   30 train   2 eb   556 lb  1390 needs  uncoupling
  16   SPC duration   20 train   2 eb   556 lb  1400 needs  brake_check
  17   SPC duration   20 train   2 eb   556 lb  1400 needs  locomotive
  18   HUM duration   15 train   2 eb   586 lb  1420 needs  receiving_track
  19   HUM duration   15 train   2 eb   586 lb  1420 needs  hump
  20   HUM duration   15 train   2 eb   586 lb  1420 needs  humping_locomotive
  21   ARR duration    5 train   3 eb   302 lb   302 needs  receiving_track
  22   UNC duration   30 train   3 eb   307 lb  1390 needs  uncoupling
  23   SPC duration   20 train   3 eb   307 lb  1400 needs  brake_check
  24   SPC duration   20 train   3 eb   307 lb  1400 needs  locomotive
  25   HUM duration   15 train   3 eb   337 lb  1420 needs  receiving_track
  26   HUM duration   15 train   3 eb   337 lb  1420 needs  hump
  27   HUM duration   15 train   3 eb   337 lb  1420 needs  humping_locomotive
  28   ARR duration    5 train   4 eb   272 lb   272 needs  receiving_track
  29   UNC duration   30 train   4 eb   277 lb  1390 needs  uncoupling
  30   SPC duration   20 train   4 eb   277 lb  1400 needs  brake_check
  31   SPC duration   20 train   4 eb   277 lb  1400 needs  locomotive
  32   HUM duration   15 train   4 eb   307 lb  1420 needs  receiving_track
  33   HUM duration   15 train   4 eb   307 lb  1420 needs  hump
  34   HUM duration   15 train   4 eb   307 lb  1420 needs  humping_locomotive
  35   SCL duration    1 train   5 eb     1 lb  1131 needs  classification_track
  36   COU duration   30 train   5 eb     2 lb  1132 needs  coupling
  37   PUL duration   25 train   5 eb    32 lb  1162 needs  classification_track
  38   PUL duration   25 train   5 eb    32 lb  1162 needs  departing_track
  39   PUL duration   25 train   5 eb    32 lb  1162 needs  brake_check
  40   PUL duration   25 train   5 eb    32 lb  1162 needs  locomotive
  41   INS duration   60 train   5 eb    57 lb  1187 needs  inspection
  42   BRC duration   10 train   5 eb   117 lb  1247 needs  brake_check
  43   DEP duration    5 train   5 eb  1257 lb  1257 needs  departing_track
  44   SCL duration    1 train   6 eb     1 lb  1081 needs  classification_track
  45   COU duration   30 train   6 eb     2 lb  1082 needs  coupling
  46   PUL duration   25 train   6 eb    32 lb  1112 needs  classification_track
  47   PUL duration   25 train   6 eb    32 lb  1112 needs  departing_track
  48   PUL duration   25 train   6 eb    32 lb  1112 needs  brake_check
  49   PUL duration   25 train   6 eb    32 lb  1112 needs  locomotive
  50   INS duration   60 train   6 eb    57 lb  1137 needs  inspection
  51   BRC duration   10 train   6 eb   117 lb  1197 needs  brake_check
  52   DEP duration    5 train   6 eb  1207 lb  1207 needs  departing_track
  53   SCL duration    1 train   7 eb     1 lb   763 needs  classification_track
  54   COU duration   30 train   7 eb     2 lb   764 needs  coupling
  55   PUL duration   25 train   7 eb    32 lb   794 needs  classification_track
  56   PUL duration   25 train   7 eb    32 lb   794 needs  departing_track
  57   PUL duration   25 train   7 eb    32 lb   794 needs  brake_check
  58   PUL duration   25 train   7 eb    32 lb   794 needs  locomotive
  59   INS duration   60 train   7 eb    57 lb   819 needs  inspection
  60   BRC duration   10 train   7 eb   117 lb   879 needs  brake_check
  61   DEP duration    5 train   7 eb   889 lb   889 needs  departing_track
  62   SCL duration    1 train   8 eb     1 lb  1063 needs  classification_track
  63   COU duration   30 train   8 eb     2 lb  1064 needs  coupling
  64   PUL duration   25 train   8 eb    32 lb  1094 needs  classification_track
  65   PUL duration   25 train   8 eb    32 lb  1094 needs  departing_track
  66   PUL duration   25 train   8 eb    32 lb  1094 needs  brake_check
  67   PUL duration   25 train   8 eb    32 lb  1094 needs  locomotive
  68   INS duration   60 train   8 eb    57 lb  1119 needs  inspection
  69   BRC duration   10 train   8 eb   117 lb  1179 needs  brake_check
  70   DEP duration    5 train   8 eb  1189 lb  1189 needs  departing_track
  71   SCL duration    1 train   9 eb     1 lb  1089 needs  classification_track
  72   COU duration   30 train   9 eb     2 lb  1090 needs  coupling
  73   PUL duration   25 train   9 eb    32 lb  1120 needs  classification_track
  74   PUL duration   25 train   9 eb    32 lb  1120 needs  departing_track
  75   PUL duration   25 train   9 eb    32 lb  1120 needs  brake_check
  76   PUL duration   25 train   9 eb    32 lb  1120 needs  locomotive
  77   INS duration   60 train   9 eb    57 lb  1145 needs  inspection
  78   BRC duration   10 train   9 eb   117 lb  1205 needs  brake_check
  79   DEP duration    5 train   9 eb  1215 lb  1215 needs  departing_track
  80 Depot duration    0 train  10 eb     0 lb  1420 needs 
