dest,inb train,nb rc
1,0,3
3,0,6
4,0,4
4,0,3
1,1,4
5,1,4
4,1,1
1,1,3
3,2,1
4,2,1
2,2,7
5,2,1
4,3,3
1,3,6
4,3,5
3,3,1
1,4,7
5,4,5
5,4,5
2,4,3
4,5,5
3,5,7
3,5,3
3,5,2
1,6,2
2,6,6
2,6,6
5,6,2
5,7,4
5,7,1
1,7,7
1,7,5
4,8,4
1,8,7
4,8,7
3,8,3
1,9,5
3,9,5
3,9,2
4,9,4
5,10,5
2,10,2
4,10,2
1,10,3
2,11,6
3,11,5
3,11,2
2,11,6
4,12,1
5,12,1
2,12,5
4,12,1
1,13,4
2,13,2
2,13,5
5,13,2
3,14,5
4,14,3
3,14,7
3,14,1
5,15,3
1,15,2
4,15,5
1,15,1
4,16,7
2,16,6
2,16,1
1,16,3
4,17,6
1,17,6
1,17,7
1,17,1
5,18,2
1,18,7
5,18,7
4,18,7
5,19,6
4,19,4
4,19,2
3,19,5
