   0   ARR duration    5 train   0 eb    79 lb    79 needs  receiving_track
   1   UNC duration   30 train   0 eb    84 lb  1410 needs  uncoupling
   2   HUM duration   15 train   0 eb   114 lb  1440 needs  receiving_track
   3   HUM duration   15 train   0 eb   114 lb  1440 needs  hump
   4   HUM duration   15 train   0 eb   114 lb  1440 needs  humping_locomotive
   5   ARR duration    5 train   1 eb   505 lb   505 needs  receiving_track
   6   UNC duration   30 train   1 eb   510 lb  1410 needs  uncoupling
   7   HUM duration   15 train   1 eb   540 lb  1440 needs  receiving_track
   8   HUM duration   15 train   1 eb   540 lb  1440 needs  hump
   9   HUM duration   15 train   1 eb   540 lb  1440 needs  humping_locomotive
  10   ARR duration    5 train   2 eb    65 lb    65 needs  receiving_track
  11   UNC duration   30 train   2 eb    70 lb  1410 needs  uncoupling
  12   HUM duration   15 train   2 eb   100 lb  1440 needs  receiving_track
  13   HUM duration   15 train   2 eb   100 lb  1440 needs  hump
  14   HUM duration   15 train   2 eb   100 lb  1440 needs  humping_locomotive
  15   ARR duration    5 train   3 eb   161 lb   161 needs  receiving_track
  16   UNC duration   30 train   3 eb   166 lb  1410 needs  uncoupling
  17   HUM duration   15 train   3 eb   196 lb  1440 needs  receiving_track
  18   HUM duration   15 train   3 eb   196 lb  1440 needs  hump
  19   HUM duration   15 train   3 eb   196 lb  1440 needs  humping_locomotive
  20   ARR duration    5 train   4 eb    51 lb    51 needs  receiving_track
  21   UNC duration   30 train   4 eb    56 lb  1410 needs  uncoupling
  22   HUM duration   15 train   4 eb    86 lb  1440 needs  receiving_track
  23   HUM duration   15 train   4 eb    86 lb  1440 needs  hump
  24   HUM duration   15 train   4 eb    86 lb  1440 needs  humping_locomotive
  25   ARR duration    5 train   5 eb   431 lb   431 needs  receiving_track
  26   UNC duration   30 train   5 eb   436 lb  1410 needs  uncoupling
  27   HUM duration   15 train   5 eb   466 lb  1440 needs  receiving_track
  28   HUM duration   15 train   5 eb   466 lb  1440 needs  hump
  29   HUM duration   15 train   5 eb   466 lb  1440 needs  humping_locomotive
  30   ARR duration    5 train   6 eb   344 lb   344 needs  receiving_track
  31   UNC duration   30 train   6 eb   349 lb  1410 needs  uncoupling
  32   HUM duration   15 train   6 eb   379 lb  1440 needs  receiving_track
  33   HUM duration   15 train   6 eb   379 lb  1440 needs  hump
  34   HUM duration   15 train   6 eb   379 lb  1440 needs  humping_locomotive
  35   ARR duration    5 train   7 eb   730 lb   730 needs  receiving_track
  36   UNC duration   30 train   7 eb   735 lb  1410 needs  uncoupling
  37   HUM duration   15 train   7 eb   765 lb  1440 needs  receiving_track
  38   HUM duration   15 train   7 eb   765 lb  1440 needs  hump
  39   HUM duration   15 train   7 eb   765 lb  1440 needs  humping_locomotive
  40   ARR duration    5 train   8 eb   502 lb   502 needs  receiving_track
  41   UNC duration   30 train   8 eb   507 lb  1410 needs  uncoupling
  42   HUM duration   15 train   8 eb   537 lb  1440 needs  receiving_track
  43   HUM duration   15 train   8 eb   537 lb  1440 needs  hump
  44   HUM duration   15 train   8 eb   537 lb  1440 needs  humping_locomotive
  45   ARR duration    5 train   9 eb   401 lb   401 needs  receiving_track
  46   UNC duration   30 train   9 eb   406 lb  1410 needs  uncoupling
  47   HUM duration   15 train   9 eb   436 lb  1440 needs  receiving_track
  48   HUM duration   15 train   9 eb   436 lb  1440 needs  hump
  49   HUM duration   15 train   9 eb   436 lb  1440 needs  humping_locomotive
  50   ARR duration    5 train  10 eb   500 lb   500 needs  receiving_track
  51   UNC duration   30 train  10 eb   505 lb  1410 needs  uncoupling
