Id,dest,cap,arr,dep,inb,type
0,2,40,196,0,1,Inbound train without any special treatment.
1,3,40,735,0,1,Inbound train without any special treatment.
2,4,40,199,0,1,Inbound train without any special treatment.
3,1,40,765,0,1,Inbound train without any special treatment.
4,5,40,324,0,1,Inbound train without any special treatment.
5,1,40,496,0,1,Inbound train with special treatment.
6,5,40,50,0,1,Inbound train with special treatment.
7,5,40,665,0,1,Inbound train with special treatment.
8,4,40,415,0,1,Inbound train with special treatment.
9,5,40,176,0,1,Inbound train with special treatment.
10,3,40,0,1063,0,Outbound train that leaves the yard from the classification tracks.
11,4,40,0,1237,0,Outbound train that leaves the yard from the classification tracks.
12,5,40,0,613,0,Outbound train that leaves the yard from the classification tracks.
13,5,40,0,927,0,Outbound train that leaves the yard from the classification tracks.
14,4,40,0,1278,0,Outbound train that leaves the yard from the classification tracks.
15,1,40,0,631,0,Outbound train that leaves the yard from the departure tracks.
16,1,40,0,671,0,Outbound train that leaves the yard from the departure tracks.
17,3,40,0,1394,0,Outbound train that leaves the yard from the departure tracks.
18,2,40,0,952,0,Outbound train that leaves the yard from the departure tracks.
19,2,40,0,782,0,Outbound train that leaves the yard from the departure tracks.
