   0   ARR duration    5 train   0 eb    96 lb    96 needs  receiving_track
   1   UNC duration   30 train   0 eb   101 lb  1410 needs  uncoupling
   2   HUM duration   15 train   0 eb   131 lb  1440 needs  receiving_track
   3   HUM duration   15 train   0 eb   131 lb  1440 needs  hump
   4   HUM duration   15 train   0 eb   131 lb  1440 needs  humping_locomotive
   5   ARR duration    5 train   1 eb    15 lb    15 needs  receiving_track
   6   UNC duration   30 train   1 eb    20 lb  1410 needs  uncoupling
   7   HUM duration   15 train   1 eb    50 lb  1440 needs  receiving_track
   8   HUM duration   15 train   1 eb    50 lb  1440 needs  hump
   9   HUM duration   15 train   1 eb    50 lb  1440 needs  humping_locomotive
  10   ARR duration    5 train   2 eb   465 lb   465 needs  receiving_track
  11   UNC duration   30 train   2 eb   470 lb  1410 needs  uncoupling
  12   HUM duration   15 train   2 eb   500 lb  1440 needs  receiving_track
  13   HUM duration   15 train   2 eb   500 lb  1440 needs  hump
  14   HUM duration   15 train   2 eb   500 lb  1440 needs  humping_locomotive
  15   ARR duration    5 train   3 eb   202 lb   202 needs  receiving_track
  16   UNC duration   30 train   3 eb   207 lb  1410 needs  uncoupling
  17   HUM duration   15 train   3 eb   237 lb  1440 needs  receiving_track
  18   HUM duration   15 train   3 eb   237 lb  1440 needs  hump
  19   HUM duration   15 train   3 eb   237 lb  1440 needs  humping_locomotive
  20   ARR duration    5 train   4 eb    62 lb    62 needs  receiving_track
  21   UNC duration   30 train   4 eb    67 lb  1410 needs  uncoupling
  22   HUM duration   15 train   4 eb    97 lb  1440 needs  receiving_track
  23   HUM duration   15 train   4 eb    97 lb  1440 needs  hump
  24   HUM duration   15 train   4 eb    97 lb  1440 needs  humping_locomotive
  25   ARR duration    5 train   5 eb   222 lb   222 needs  receiving_track
  26   UNC duration   30 train   5 eb   227 lb  1410 needs  uncoupling
  27   HUM duration   15 train   5 eb   257 lb  1440 needs  receiving_track
  28   HUM duration   15 train   5 eb   257 lb  1440 needs  hump
  29   HUM duration   15 train   5 eb   257 lb  1440 needs  humping_locomotive
  30   ARR duration    5 train   6 eb   351 lb   351 needs  receiving_track
  31   UNC duration   30 train   6 eb   356 lb  1410 needs  uncoupling
  32   HUM duration   15 train   6 eb   386 lb  1440 needs  receiving_track
  33   HUM duration   15 train   6 eb   386 lb  1440 needs  hump
  34   HUM duration   15 train   6 eb   386 lb  1440 needs  humping_locomotive
  35   ARR duration    5 train   7 eb   273 lb   273 needs  receiving_track
  36   UNC duration   30 train   7 eb   278 lb  1410 needs  uncoupling
  37   HUM duration   15 train   7 eb   308 lb  1440 needs  receiving_track
  38   HUM duration   15 train   7 eb   308 lb  1440 needs  hump
  39   HUM duration   15 train   7 eb   308 lb  1440 needs  humping_locomotive
  40   ARR duration    5 train   8 eb    68 lb    68 needs  receiving_track
  41   UNC duration   30 train   8 eb    73 lb  1410 needs  uncoupling
  42   HUM duration   15 train   8 eb   103 lb  1440 needs  receiving_track
  43   HUM duration   15 train   8 eb   103 lb  1440 needs  hump
  44   HUM duration   15 train   8 eb   103 lb  1440 needs  humping_locomotive
  45   ARR duration    5 train   9 eb   758 lb   758 needs  receiving_track
  46   UNC duration   30 train   9 eb   763 lb  1410 needs  uncoupling
  47   HUM duration   15 train   9 eb   793 lb  1440 needs  receiving_track
  48   HUM duration   15 train   9 eb   793 lb  1440 needs  hump
  49   HUM duration   15 train   9 eb   793 lb  1440 needs  humping_locomotive
  50   ARR duration    5 train  10 eb    52 lb    52 needs  receiving_track
  51   UNC duration   30 train  10 eb    57 lb  1410 needs  uncoupling
  52   SPC duration   20 train  10 eb    57 lb  1420 needs  brake_check
  53   SPC duration   20 train  10 eb    57 lb  1420 needs  locomotive
  54   HUM duration   15 train  10 eb    87 lb  1440 needs  receiving_track
  55   HUM duration   15 train  10 eb    87 lb  1440 needs  hump
  56   HUM duration   15 train  10 eb    87 lb  1440 needs  humping_locomotive
  57   ARR duration    5 train  11 eb    86 lb    86 needs  receiving_track
  58   UNC duration   30 train  11 eb    91 lb  1410 needs  uncoupling
  59   SPC duration   20 train  11 eb    91 lb  1420 needs  brake_check
  60   SPC duration   20 train  11 eb    91 lb  1420 needs  locomotive
  61   HUM duration   15 train  11 eb   121 lb  1440 needs  receiving_track
  62   HUM duration   15 train  11 eb   121 lb  1440 needs  hump
  63   HUM duration   15 train  11 eb   121 lb  1440 needs  humping_locomotive
  64   ARR duration    5 train  12 eb    24 lb    24 needs  receiving_track
  65   UNC duration   30 train  12 eb    29 lb  1410 needs  uncoupling
  66   SPC duration   20 train  12 eb    29 lb  1420 needs  brake_check
  67   SPC duration   20 train  12 eb    29 lb  1420 needs  locomotive
  68   HUM duration   15 train  12 eb    59 lb  1440 needs  receiving_track
  69   HUM duration   15 train  12 eb    59 lb  1440 needs  hump
  70   HUM duration   15 train  12 eb    59 lb  1440 needs  humping_locomotive
  71   ARR duration    5 train  13 eb    76 lb    76 needs  receiving_track
  72   UNC duration   30 train  13 eb    81 lb  1410 needs  uncoupling
  73   SPC duration   20 train  13 eb    81 lb  1420 needs  brake_check
  74   SPC duration   20 train  13 eb    81 lb  1420 needs  locomotive
  75   HUM duration   15 train  13 eb   111 lb  1440 needs  receiving_track
  76   HUM duration   15 train  13 eb   111 lb  1440 needs  hump
  77   HUM duration   15 train  13 eb   111 lb  1440 needs  humping_locomotive
  78   ARR duration    5 train  14 eb   552 lb   552 needs  receiving_track
  79   UNC duration   30 train  14 eb   557 lb  1410 needs  uncoupling
  80   SPC duration   20 train  14 eb   557 lb  1420 needs  brake_check
  81   SPC duration   20 train  14 eb   557 lb  1420 needs  locomotive
  82   HUM duration   15 train  14 eb   587 lb  1440 needs  receiving_track
  83   HUM duration   15 train  14 eb   587 lb  1440 needs  hump
  84   HUM duration   15 train  14 eb   587 lb  1440 needs  humping_locomotive
  85   ARR duration    5 train  15 eb   278 lb   278 needs  receiving_track
  86   UNC duration   30 train  15 eb   283 lb  1410 needs  uncoupling
  87   SPC duration   20 train  15 eb   283 lb  1420 needs  brake_check
  88   SPC duration   20 train  15 eb   283 lb  1420 needs  locomotive
  89   HUM duration   15 train  15 eb   313 lb  1440 needs  receiving_track
  90   HUM duration   15 train  15 eb   313 lb  1440 needs  hump
  91   HUM duration   15 train  15 eb   313 lb  1440 needs  humping_locomotive
  92   ARR duration    5 train  16 eb    25 lb    25 needs  receiving_track
  93   UNC duration   30 train  16 eb    30 lb  1410 needs  uncoupling
  94   SPC duration   20 train  16 eb    30 lb  1420 needs  brake_check
  95   SPC duration   20 train  16 eb    30 lb  1420 needs  locomotive
  96   HUM duration   15 train  16 eb    60 lb  1440 needs  receiving_track
  97   HUM duration   15 train  16 eb    60 lb  1440 needs  hump
  98   HUM duration   15 train  16 eb    60 lb  1440 needs  humping_locomotive
  99   ARR duration    5 train  17 eb   318 lb   318 needs  receiving_track
 100   UNC duration   30 train  17 eb   323 lb  1410 needs  uncoupling
 101   SPC duration   20 train  17 eb   323 lb  1420 needs  brake_check
 102   SPC duration   20 train  17 eb   323 lb  1420 needs  locomotive
 103   HUM duration   15 train  17 eb   353 lb  1440 needs  receiving_track
 104   HUM duration   15 train  17 eb   353 lb  1440 needs  hump
 105   HUM duration   15 train  17 eb   353 lb  1440 needs  humping_locomotive
 106   ARR duration    5 train  18 eb   367 lb   367 needs  receiving_track
 107   UNC duration   30 train  18 eb   372 lb  1410 needs  uncoupling
 108   SPC duration   20 train  18 eb   372 lb  1420 needs  brake_check
 109   SPC duration   20 train  18 eb   372 lb  1420 needs  locomotive
 110   HUM duration   15 train  18 eb   402 lb  1440 needs  receiving_track
 111   HUM duration   15 train  18 eb   402 lb  1440 needs  hump
 112   HUM duration   15 train  18 eb   402 lb  1440 needs  humping_locomotive
 113   ARR duration    5 train  19 eb   155 lb   155 needs  receiving_track
 114   UNC duration   30 train  19 eb   160 lb  1410 needs  uncoupling
 115   SPC duration   20 train  19 eb   160 lb  1420 needs  brake_check
 116   SPC duration   20 train  19 eb   160 lb  1420 needs  locomotive
 117   HUM duration   15 train  19 eb   190 lb  1440 needs  receiving_track
 118   HUM duration   15 train  19 eb   190 lb  1440 needs  hump
 119   HUM duration   15 train  19 eb   190 lb  1440 needs  humping_locomotive
 120   SCL duration    1 train  20 eb     1 lb   961 needs  classification_track
 121   COU duration   30 train  20 eb     2 lb   962 needs  coupling
 122   INS duration   60 train  20 eb    32 lb   992 needs  inspection
 123   BRC duration   10 train  20 eb    92 lb  1052 needs  brake_check
 124   DEP duration    5 train  20 eb  1062 lb  1062 needs  classification_track
 125   SCL duration    1 train  21 eb     1 lb   833 needs  classification_track
 126   COU duration   30 train  21 eb     2 lb   834 needs  coupling
 127   INS duration   60 train  21 eb    32 lb   864 needs  inspection
 128   BRC duration   10 train  21 eb    92 lb   924 needs  brake_check
 129   DEP duration    5 train  21 eb   934 lb   934 needs  classification_track
 130   SCL duration    1 train  22 eb     1 lb  1176 needs  classification_track
 131   COU duration   30 train  22 eb     2 lb  1177 needs  coupling
 132   INS duration   60 train  22 eb    32 lb  1207 needs  inspection
 133   BRC duration   10 train  22 eb    92 lb  1267 needs  brake_check
 134   DEP duration    5 train  22 eb  1277 lb  1277 needs  classification_track
 135   SCL duration    1 train  23 eb     1 lb  1190 needs  classification_track
 136   COU duration   30 train  23 eb     2 lb  1191 needs  coupling
 137   INS duration   60 train  23 eb    32 lb  1221 needs  inspection
 138   BRC duration   10 train  23 eb    92 lb  1281 needs  brake_check
 139   DEP duration    5 train  23 eb  1291 lb  1291 needs  classification_track
 140   SCL duration    1 train  24 eb     1 lb  1021 needs  classification_track
 141   COU duration   30 train  24 eb     2 lb  1022 needs  coupling
 142   INS duration   60 train  24 eb    32 lb  1052 needs  inspection
 143   BRC duration   10 train  24 eb    92 lb  1112 needs  brake_check
 144   DEP duration    5 train  24 eb  1122 lb  1122 needs  classification_track
 145   SCL duration    1 train  25 eb     1 lb  1239 needs  classification_track
 146   COU duration   30 train  25 eb     2 lb  1240 needs  coupling
 147   INS duration   60 train  25 eb    32 lb  1270 needs  inspection
 148   BRC duration   10 train  25 eb    92 lb  1330 needs  brake_check
 149   DEP duration    5 train  25 eb  1340 lb  1340 needs  classification_track
 150   SCL duration    1 train  26 eb     1 lb  1104 needs  classification_track
 151   COU duration   30 train  26 eb     2 lb  1105 needs  coupling
 152   INS duration   60 train  26 eb    32 lb  1135 needs  inspection
 153   BRC duration   10 train  26 eb    92 lb  1195 needs  brake_check
 154   DEP duration    5 train  26 eb  1205 lb  1205 needs  classification_track
 155   SCL duration    1 train  27 eb     1 lb  1162 needs  classification_track
 156   COU duration   30 train  27 eb     2 lb  1163 needs  coupling
 157   INS duration   60 train  27 eb    32 lb  1193 needs  inspection
 158   BRC duration   10 train  27 eb    92 lb  1253 needs  brake_check
 159   DEP duration    5 train  27 eb  1263 lb  1263 needs  classification_track
 160   SCL duration    1 train  28 eb     1 lb  1105 needs  classification_track
 161   COU duration   30 train  28 eb     2 lb  1106 needs  coupling
 162   INS duration   60 train  28 eb    32 lb  1136 needs  inspection
 163   BRC duration   10 train  28 eb    92 lb  1196 needs  brake_check
 164   DEP duration    5 train  28 eb  1206 lb  1206 needs  classification_track
 165   SCL duration    1 train  29 eb     1 lb   833 needs  classification_track
 166   COU duration   30 train  29 eb     2 lb   834 needs  coupling
 167   INS duration   60 train  29 eb    32 lb   864 needs  inspection
 168   BRC duration   10 train  29 eb    92 lb   924 needs  brake_check
 169   DEP duration    5 train  29 eb   934 lb   934 needs  classification_track
 170   SCL duration    1 train  30 eb     1 lb  1230 needs  classification_track
 171   COU duration   30 train  30 eb     2 lb  1231 needs  coupling
 172   PUL duration   25 train  30 eb    32 lb  1261 needs  classification_track
 173   PUL duration   25 train  30 eb    32 lb  1261 needs  departing_track
 174   PUL duration   25 train  30 eb    32 lb  1261 needs  brake_check
 175   PUL duration   25 train  30 eb    32 lb  1261 needs  locomotive
 176   INS duration   60 train  30 eb    57 lb  1286 needs  inspection
 177   BRC duration   10 train  30 eb   117 lb  1346 needs  brake_check
 178   DEP duration    5 train  30 eb  1356 lb  1356 needs  departing_track
 179   SCL duration    1 train  31 eb     1 lb   774 needs  classification_track
 180   COU duration   30 train  31 eb     2 lb   775 needs  coupling
 181   PUL duration   25 train  31 eb    32 lb   805 needs  classification_track
 182   PUL duration   25 train  31 eb    32 lb   805 needs  departing_track
 183   PUL duration   25 train  31 eb    32 lb   805 needs  brake_check
 184   PUL duration   25 train  31 eb    32 lb   805 needs  locomotive
 185   INS duration   60 train  31 eb    57 lb   830 needs  inspection
 186   BRC duration   10 train  31 eb   117 lb   890 needs  brake_check
 187   DEP duration    5 train  31 eb   900 lb   900 needs  departing_track
 188   SCL duration    1 train  32 eb     1 lb  1013 needs  classification_track
 189   COU duration   30 train  32 eb     2 lb  1014 needs  coupling
 190   PUL duration   25 train  32 eb    32 lb  1044 needs  classification_track
 191   PUL duration   25 train  32 eb    32 lb  1044 needs  departing_track
 192   PUL duration   25 train  32 eb    32 lb  1044 needs  brake_check
 193   PUL duration   25 train  32 eb    32 lb  1044 needs  locomotive
 194   INS duration   60 train  32 eb    57 lb  1069 needs  inspection
 195   BRC duration   10 train  32 eb   117 lb  1129 needs  brake_check
 196   DEP duration    5 train  32 eb  1139 lb  1139 needs  departing_track
 197   SCL duration    1 train  33 eb     1 lb   665 needs  classification_track
 198   COU duration   30 train  33 eb     2 lb   666 needs  coupling
 199   PUL duration   25 train  33 eb    32 lb   696 needs  classification_track
 200   PUL duration   25 train  33 eb    32 lb   696 needs  departing_track
 201   PUL duration   25 train  33 eb    32 lb   696 needs  brake_check
 202   PUL duration   25 train  33 eb    32 lb   696 needs  locomotive
 203   INS duration   60 train  33 eb    57 lb   721 needs  inspection
 204   BRC duration   10 train  33 eb   117 lb   781 needs  brake_check
 205   DEP duration    5 train  33 eb   791 lb   791 needs  departing_track
 206   SCL duration    1 train  34 eb     1 lb  1137 needs  classification_track
 207   COU duration   30 train  34 eb     2 lb  1138 needs  coupling
 208   PUL duration   25 train  34 eb    32 lb  1168 needs  classification_track
 209   PUL duration   25 train  34 eb    32 lb  1168 needs  departing_track
 210   PUL duration   25 train  34 eb    32 lb  1168 needs  brake_check
 211   PUL duration   25 train  34 eb    32 lb  1168 needs  locomotive
 212   INS duration   60 train  34 eb    57 lb  1193 needs  inspection
 213   BRC duration   10 train  34 eb   117 lb  1253 needs  brake_check
 214   DEP duration    5 train  34 eb  1263 lb  1263 needs  departing_track
 215   SCL duration    1 train  35 eb     1 lb   559 needs  classification_track
 216   COU duration   30 train  35 eb     2 lb   560 needs  coupling
 217   PUL duration   25 train  35 eb    32 lb   590 needs  classification_track
 218   PUL duration   25 train  35 eb    32 lb   590 needs  departing_track
 219   PUL duration   25 train  35 eb    32 lb   590 needs  brake_check
 220   PUL duration   25 train  35 eb    32 lb   590 needs  locomotive
 221   INS duration   60 train  35 eb    57 lb   615 needs  inspection
 222   BRC duration   10 train  35 eb   117 lb   675 needs  brake_check
 223   DEP duration    5 train  35 eb   685 lb   685 needs  departing_track
 224   SCL duration    1 train  36 eb     1 lb   767 needs  classification_track
 225   COU duration   30 train  36 eb     2 lb   768 needs  coupling
 226   PUL duration   25 train  36 eb    32 lb   798 needs  classification_track
 227   PUL duration   25 train  36 eb    32 lb   798 needs  departing_track
 228   PUL duration   25 train  36 eb    32 lb   798 needs  brake_check
 229   PUL duration   25 train  36 eb    32 lb   798 needs  locomotive
 230   INS duration   60 train  36 eb    57 lb   823 needs  inspection
 231   BRC duration   10 train  36 eb   117 lb   883 needs  brake_check
 232   DEP duration    5 train  36 eb   893 lb   893 needs  departing_track
 233   SCL duration    1 train  37 eb     1 lb   625 needs  classification_track
 234   COU duration   30 train  37 eb     2 lb   626 needs  coupling
 235   PUL duration   25 train  37 eb    32 lb   656 needs  classification_track
 236   PUL duration   25 train  37 eb    32 lb   656 needs  departing_track
 237   PUL duration   25 train  37 eb    32 lb   656 needs  brake_check
 238   PUL duration   25 train  37 eb    32 lb   656 needs  locomotive
 239   INS duration   60 train  37 eb    57 lb   681 needs  inspection
 240   BRC duration   10 train  37 eb   117 lb   741 needs  brake_check
 241   DEP duration    5 train  37 eb   751 lb   751 needs  departing_track
 242   SCL duration    1 train  38 eb     1 lb  1215 needs  classification_track
 243   COU duration   30 train  38 eb     2 lb  1216 needs  coupling
 244   PUL duration   25 train  38 eb    32 lb  1246 needs  classification_track
 245   PUL duration   25 train  38 eb    32 lb  1246 needs  departing_track
 246   PUL duration   25 train  38 eb    32 lb  1246 needs  brake_check
 247   PUL duration   25 train  38 eb    32 lb  1246 needs  locomotive
 248   INS duration   60 train  38 eb    57 lb  1271 needs  inspection
 249   BRC duration   10 train  38 eb   117 lb  1331 needs  brake_check
 250   DEP duration    5 train  38 eb  1341 lb  1341 needs  departing_track
 251   SCL duration    1 train  39 eb     1 lb   786 needs  classification_track
 252   COU duration   30 train  39 eb     2 lb   787 needs  coupling
 253   PUL duration   25 train  39 eb    32 lb   817 needs  classification_track
 254   PUL duration   25 train  39 eb    32 lb   817 needs  departing_track
 255   PUL duration   25 train  39 eb    32 lb   817 needs  brake_check
 256   PUL duration   25 train  39 eb    32 lb   817 needs  locomotive
 257   INS duration   60 train  39 eb    57 lb   842 needs  inspection
 258   BRC duration   10 train  39 eb   117 lb   902 needs  brake_check
 259   DEP duration    5 train  39 eb   912 lb   912 needs  departing_track
 260 Depot duration    0 train  40 eb     0 lb  1440 needs 
