   0   ARR duration    5 train   0 eb   332 lb   332 needs  receiving_track
   1   UNC duration   30 train   0 eb   337 lb  1410 needs  uncoupling
   2   HUM duration   15 train   0 eb   367 lb  1440 needs  receiving_track
   3   HUM duration   15 train   0 eb   367 lb  1440 needs  hump
   4   HUM duration   15 train   0 eb   367 lb  1440 needs  humping_locomotive
   5   ARR duration    5 train   1 eb   108 lb   108 needs  receiving_track
   6   UNC duration   30 train   1 eb   113 lb  1410 needs  uncoupling
   7   HUM duration   15 train   1 eb   143 lb  1440 needs  receiving_track
   8   HUM duration   15 train   1 eb   143 lb  1440 needs  hump
   9   HUM duration   15 train   1 eb   143 lb  1440 needs  humping_locomotive
  10   ARR duration    5 train   2 eb   516 lb   516 needs  receiving_track
  11   UNC duration   30 train   2 eb   521 lb  1410 needs  uncoupling
  12   HUM duration   15 train   2 eb   551 lb  1440 needs  receiving_track
  13   HUM duration   15 train   2 eb   551 lb  1440 needs  hump
  14   HUM duration   15 train   2 eb   551 lb  1440 needs  humping_locomotive
  15   ARR duration    5 train   3 eb   200 lb   200 needs  receiving_track
  16   UNC duration   30 train   3 eb   205 lb  1410 needs  uncoupling
  17   HUM duration   15 train   3 eb   235 lb  1440 needs  receiving_track
  18   HUM duration   15 train   3 eb   235 lb  1440 needs  hump
  19   HUM duration   15 train   3 eb   235 lb  1440 needs  humping_locomotive
  20   ARR duration    5 train   4 eb   318 lb   318 needs  receiving_track
  21   UNC duration   30 train   4 eb   323 lb  1410 needs  uncoupling
  22   HUM duration   15 train   4 eb   353 lb  1440 needs  receiving_track
  23   HUM duration   15 train   4 eb   353 lb  1440 needs  hump
  24   HUM duration   15 train   4 eb   353 lb  1440 needs  humping_locomotive
  25   ARR duration    5 train   5 eb   789 lb   789 needs  receiving_track
  26   UNC duration   30 train   5 eb   794 lb  1410 needs  uncoupling
  27   HUM duration   15 train   5 eb   824 lb  1440 needs  receiving_track
  28   HUM duration   15 train   5 eb   824 lb  1440 needs  hump
  29   HUM duration   15 train   5 eb   824 lb  1440 needs  humping_locomotive
  30   ARR duration    5 train   6 eb   439 lb   439 needs  receiving_track
  31   UNC duration   30 train   6 eb   444 lb  1410 needs  uncoupling
  32   HUM duration   15 train   6 eb   474 lb  1440 needs  receiving_track
  33   HUM duration   15 train   6 eb   474 lb  1440 needs  hump
  34   HUM duration   15 train   6 eb   474 lb  1440 needs  humping_locomotive
  35   ARR duration    5 train   7 eb   388 lb   388 needs  receiving_track
  36   UNC duration   30 train   7 eb   393 lb  1410 needs  uncoupling
  37   HUM duration   15 train   7 eb   423 lb  1440 needs  receiving_track
  38   HUM duration   15 train   7 eb   423 lb  1440 needs  hump
  39   HUM duration   15 train   7 eb   423 lb  1440 needs  humping_locomotive
  40   ARR duration    5 train   8 eb   758 lb   758 needs  receiving_track
  41   UNC duration   30 train   8 eb   763 lb  1410 needs  uncoupling
  42   HUM duration   15 train   8 eb   793 lb  1440 needs  receiving_track
  43   HUM duration   15 train   8 eb   793 lb  1440 needs  hump
  44   HUM duration   15 train   8 eb   793 lb  1440 needs  humping_locomotive
  45   ARR duration    5 train   9 eb   509 lb   509 needs  receiving_track
  46   UNC duration   30 train   9 eb   514 lb  1410 needs  uncoupling
  47   HUM duration   15 train   9 eb   544 lb  1440 needs  receiving_track
  48   HUM duration   15 train   9 eb   544 lb  1440 needs  hump
  49   HUM duration   15 train   9 eb   544 lb  1440 needs  humping_locomotive
  50   ARR duration    5 train  10 eb   417 lb   417 needs  receiving_track
  51   UNC duration   30 train  10 eb   422 lb  1410 needs  uncoupling
  52   SPC duration   20 train  10 eb   422 lb  1420 needs  brake_check
  53   SPC duration   20 train  10 eb   422 lb  1420 needs  locomotive
  54   HUM duration   15 train  10 eb   452 lb  1440 needs  receiving_track
  55   HUM duration   15 train  10 eb   452 lb  1440 needs  hump
  56   HUM duration   15 train  10 eb   452 lb  1440 needs  humping_locomotive
  57   ARR duration    5 train  11 eb   673 lb   673 needs  receiving_track
  58   UNC duration   30 train  11 eb   678 lb  1410 needs  uncoupling
  59   SPC duration   20 train  11 eb   678 lb  1420 needs  brake_check
  60   SPC duration   20 train  11 eb   678 lb  1420 needs  locomotive
  61   HUM duration   15 train  11 eb   708 lb  1440 needs  receiving_track
  62   HUM duration   15 train  11 eb   708 lb  1440 needs  hump
  63   HUM duration   15 train  11 eb   708 lb  1440 needs  humping_locomotive
  64   ARR duration    5 train  12 eb   529 lb   529 needs  receiving_track
  65   UNC duration   30 train  12 eb   534 lb  1410 needs  uncoupling
  66   SPC duration   20 train  12 eb   534 lb  1420 needs  brake_check
  67   SPC duration   20 train  12 eb   534 lb  1420 needs  locomotive
  68   HUM duration   15 train  12 eb   564 lb  1440 needs  receiving_track
  69   HUM duration   15 train  12 eb   564 lb  1440 needs  hump
  70   HUM duration   15 train  12 eb   564 lb  1440 needs  humping_locomotive
  71   ARR duration    5 train  13 eb   168 lb   168 needs  receiving_track
  72   UNC duration   30 train  13 eb   173 lb  1410 needs  uncoupling
  73   SPC duration   20 train  13 eb   173 lb  1420 needs  brake_check
  74   SPC duration   20 train  13 eb   173 lb  1420 needs  locomotive
  75   HUM duration   15 train  13 eb   203 lb  1440 needs  receiving_track
  76   HUM duration   15 train  13 eb   203 lb  1440 needs  hump
  77   HUM duration   15 train  13 eb   203 lb  1440 needs  humping_locomotive
  78   ARR duration    5 train  14 eb   545 lb   545 needs  receiving_track
  79   UNC duration   30 train  14 eb   550 lb  1410 needs  uncoupling
  80   SPC duration   20 train  14 eb   550 lb  1420 needs  brake_check
  81   SPC duration   20 train  14 eb   550 lb  1420 needs  locomotive
  82   HUM duration   15 train  14 eb   580 lb  1440 needs  receiving_track
  83   HUM duration   15 train  14 eb   580 lb  1440 needs  hump
  84   HUM duration   15 train  14 eb   580 lb  1440 needs  humping_locomotive
  85   ARR duration    5 train  15 eb   308 lb   308 needs  receiving_track
  86   UNC duration   30 train  15 eb   313 lb  1410 needs  uncoupling
  87   SPC duration   20 train  15 eb   313 lb  1420 needs  brake_check
  88   SPC duration   20 train  15 eb   313 lb  1420 needs  locomotive
  89   HUM duration   15 train  15 eb   343 lb  1440 needs  receiving_track
  90   HUM duration   15 train  15 eb   343 lb  1440 needs  hump
  91   HUM duration   15 train  15 eb   343 lb  1440 needs  humping_locomotive
  92   ARR duration    5 train  16 eb   552 lb   552 needs  receiving_track
  93   UNC duration   30 train  16 eb   557 lb  1410 needs  uncoupling
  94   SPC duration   20 train  16 eb   557 lb  1420 needs  brake_check
  95   SPC duration   20 train  16 eb   557 lb  1420 needs  locomotive
  96   HUM duration   15 train  16 eb   587 lb  1440 needs  receiving_track
